Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Libraries Loaded
CUDA Available:  True
CUDA Device count:  1
World size: 1
Rank: 0
Local rank: 0
GPU 0:  NVIDIA H200 NVL
Libraries loaded!
Preparing the training!
Model name:  microsoft/Phi-3.5-vision-instruct
Number of Epochs:  2
Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
{'loss': 0.6254, 'grad_norm': 114681.374808641, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.01}
{'loss': 0.103, 'grad_norm': 82788.03855630354, 'learning_rate': 6.94592790387183e-06, 'epoch': 0.62}
{'loss': 0.1199, 'grad_norm': 115896.07924343256, 'learning_rate': 6.912550066755674e-06, 'epoch': 0.63}
{'loss': 0.0955, 'grad_norm': 69074.25152688952, 'learning_rate': 6.87917222963952e-06, 'epoch': 0.64}
{'loss': 0.1072, 'grad_norm': 94241.11917841384, 'learning_rate': 6.845794392523365e-06, 'epoch': 0.64}
{'loss': 0.1129, 'grad_norm': 113586.90178009082, 'learning_rate': 6.81241655540721e-06, 'epoch': 0.65}
{'loss': 0.1142, 'grad_norm': 143317.38652375713, 'learning_rate': 6.779038718291056e-06, 'epoch': 0.66}
{'loss': 0.1114, 'grad_norm': 80651.06590740137, 'learning_rate': 6.7456608811749e-06, 'epoch': 0.66}
{'loss': 0.1281, 'grad_norm': 310663.56809899677, 'learning_rate': 6.712283044058746e-06, 'epoch': 0.67}
{'loss': 0.1009, 'grad_norm': 244528.11254332293, 'learning_rate': 6.678905206942591e-06, 'epoch': 0.68}
{'loss': 0.1022, 'grad_norm': 216458.33210112288, 'learning_rate': 6.6455273698264355e-06, 'epoch': 0.68}
{'loss': 0.1114, 'grad_norm': 182526.6086903496, 'learning_rate': 6.6121495327102815e-06, 'epoch': 0.69}
{'loss': 0.1017, 'grad_norm': 275344.4086230915, 'learning_rate': 6.578771695594126e-06, 'epoch': 0.7}
{'loss': 0.1079, 'grad_norm': 183011.98666754045, 'learning_rate': 6.545393858477971e-06, 'epoch': 0.7}
{'loss': 0.1007, 'grad_norm': 167172.39810447177, 'learning_rate': 6.512016021361817e-06, 'epoch': 0.71}
{'loss': 0.0951, 'grad_norm': 213626.3917777951, 'learning_rate': 6.478638184245661e-06, 'epoch': 0.71}
{'loss': 0.1144, 'grad_norm': 306991.9161932444, 'learning_rate': 6.4452603471295065e-06, 'epoch': 0.72}
{'loss': 0.1019, 'grad_norm': 194167.94182356674, 'learning_rate': 6.411882510013352e-06, 'epoch': 0.73}
{'loss': 0.1117, 'grad_norm': 165491.26014385172, 'learning_rate': 6.378504672897197e-06, 'epoch': 0.73}
{'loss': 0.1167, 'grad_norm': 239117.10456594275, 'learning_rate': 6.345126835781041e-06, 'epoch': 0.74}
{'loss': 0.0912, 'grad_norm': 176676.74980030622, 'learning_rate': 6.311748998664887e-06, 'epoch': 0.75}
{'loss': 0.1146, 'grad_norm': 259572.2127501324, 'learning_rate': 6.278371161548732e-06, 'epoch': 0.75}
{'loss': 0.099, 'grad_norm': 205464.54183629836, 'learning_rate': 6.2449933244325775e-06, 'epoch': 0.76}
{'loss': 0.1085, 'grad_norm': 215189.82399732567, 'learning_rate': 6.211615487316423e-06, 'epoch': 0.77}
{'loss': 0.0916, 'grad_norm': 124741.5658070717, 'learning_rate': 6.178237650200267e-06, 'epoch': 0.77}
{'loss': 0.1027, 'grad_norm': 217276.79526355315, 'learning_rate': 6.144859813084113e-06, 'epoch': 0.78}
{'loss': 0.1061, 'grad_norm': 247865.96016395636, 'learning_rate': 6.111481975967958e-06, 'epoch': 0.79}
{'loss': 0.1086, 'grad_norm': 145452.01446525243, 'learning_rate': 6.0781041388518024e-06, 'epoch': 0.79}
{'loss': 0.1002, 'grad_norm': 178164.30421383516, 'learning_rate': 6.0447263017356485e-06, 'epoch': 0.8}
{'loss': 0.0987, 'grad_norm': 207072.18544266152, 'learning_rate': 6.011348464619493e-06, 'epoch': 0.81}
{'loss': 0.1049, 'grad_norm': 182437.5371901298, 'learning_rate': 5.977970627503338e-06, 'epoch': 0.81}
{'loss': 0.101, 'grad_norm': 156480.46462098713, 'learning_rate': 5.944592790387184e-06, 'epoch': 0.82}
{'loss': 0.1163, 'grad_norm': 305789.8300467169, 'learning_rate': 5.911214953271028e-06, 'epoch': 0.83}
{'loss': 0.1189, 'grad_norm': 223730.94698767088, 'learning_rate': 5.877837116154874e-06, 'epoch': 0.83}
{'loss': 0.0948, 'grad_norm': 152669.1594789203, 'learning_rate': 5.844459279038719e-06, 'epoch': 0.84}
{'loss': 0.1074, 'grad_norm': 259987.7963905229, 'learning_rate': 5.811081441922564e-06, 'epoch': 0.85}
{'loss': 0.11, 'grad_norm': 136984.8201809237, 'learning_rate': 5.77770360480641e-06, 'epoch': 0.85}
{'loss': 0.0828, 'grad_norm': 218599.567721439, 'learning_rate': 5.744325767690254e-06, 'epoch': 0.86}
{'loss': 0.0948, 'grad_norm': 180177.76679712732, 'learning_rate': 5.710947930574099e-06, 'epoch': 0.87}
{'loss': 0.1009, 'grad_norm': 186421.69556143405, 'learning_rate': 5.6775700934579444e-06, 'epoch': 0.87}
{'loss': 0.1112, 'grad_norm': 151017.767855309, 'learning_rate': 5.64419225634179e-06, 'epoch': 0.88}
{'loss': 0.1023, 'grad_norm': 194940.01834410502, 'learning_rate': 5.610814419225634e-06, 'epoch': 0.89}
{'loss': 0.101, 'grad_norm': 232400.62072206262, 'learning_rate': 5.57743658210948e-06, 'epoch': 0.89}
{'loss': 0.1029, 'grad_norm': 163285.78764852745, 'learning_rate': 5.544058744993325e-06, 'epoch': 0.9}
{'loss': 0.1041, 'grad_norm': 191307.2622981156, 'learning_rate': 5.5106809078771694e-06, 'epoch': 0.91}
{'loss': 0.1058, 'grad_norm': 229362.0352891908, 'learning_rate': 5.4773030707610155e-06, 'epoch': 0.91}
{'loss': 0.1171, 'grad_norm': 247662.8500522434, 'learning_rate': 5.44392523364486e-06, 'epoch': 0.92}
{'loss': 0.1261, 'grad_norm': 150261.01493068654, 'learning_rate': 5.410547396528706e-06, 'epoch': 0.93}
{'loss': 0.1115, 'grad_norm': 221163.86945430306, 'learning_rate': 5.377169559412551e-06, 'epoch': 0.93}
{'loss': 0.0991, 'grad_norm': 164127.7909922631, 'learning_rate': 5.343791722296395e-06, 'epoch': 0.94}
{'loss': 0.1047, 'grad_norm': 171352.1447312522, 'learning_rate': 5.310413885180241e-06, 'epoch': 0.95}
{'loss': 0.089, 'grad_norm': 229245.88273729148, 'learning_rate': 5.277036048064086e-06, 'epoch': 0.95}
{'loss': 0.0987, 'grad_norm': 141266.55066221443, 'learning_rate': 5.243658210947931e-06, 'epoch': 0.96}
{'loss': 0.1045, 'grad_norm': 177992.36513963176, 'learning_rate': 5.210280373831777e-06, 'epoch': 0.97}
{'loss': 0.104, 'grad_norm': 161649.10778596954, 'learning_rate': 5.176902536715621e-06, 'epoch': 0.97}
{'loss': 0.1082, 'grad_norm': 208490.64592925986, 'learning_rate': 5.143524699599466e-06, 'epoch': 0.98}
{'loss': 0.1132, 'grad_norm': 240196.11827005033, 'learning_rate': 5.1101468624833114e-06, 'epoch': 0.99}
{'loss': 0.1129, 'grad_norm': 175704.05955469556, 'learning_rate': 5.076769025367157e-06, 'epoch': 0.99}
{'loss': 0.1077, 'grad_norm': 601691.1454359288, 'learning_rate': 5.043391188251003e-06, 'epoch': 1.0}
{'loss': 0.0537, 'grad_norm': 233719.30761492514, 'learning_rate': 5.010013351134847e-06, 'epoch': 1.01}
{'loss': 0.0407, 'grad_norm': 181372.48832168567, 'learning_rate': 4.976635514018692e-06, 'epoch': 1.01}
{'loss': 0.0439, 'grad_norm': 528105.2908350758, 'learning_rate': 4.943257676902537e-06, 'epoch': 1.02}
{'loss': 0.0456, 'grad_norm': 302980.5559437767, 'learning_rate': 4.9098798397863824e-06, 'epoch': 1.03}
{'loss': 0.0488, 'grad_norm': 271195.6483426679, 'learning_rate': 4.876502002670228e-06, 'epoch': 1.03}
{'loss': 0.0476, 'grad_norm': 331842.277330662, 'learning_rate': 4.843124165554072e-06, 'epoch': 1.04}
{'loss': 0.0408, 'grad_norm': 319929.284986542, 'learning_rate': 4.809746328437918e-06, 'epoch': 1.05}
{'loss': 0.0357, 'grad_norm': 249844.91778701442, 'learning_rate': 4.776368491321763e-06, 'epoch': 1.05}
{'loss': 0.04, 'grad_norm': 368478.5201880837, 'learning_rate': 4.742990654205608e-06, 'epoch': 1.06}
{'loss': 0.0462, 'grad_norm': 415318.0280796874, 'learning_rate': 4.709612817089453e-06, 'epoch': 1.07}
{'loss': 0.0427, 'grad_norm': 387511.4119609899, 'learning_rate': 4.676234979973298e-06, 'epoch': 1.07}
{'loss': 0.0373, 'grad_norm': 238963.08481437044, 'learning_rate': 4.642857142857144e-06, 'epoch': 1.08}
{'loss': 0.0389, 'grad_norm': 156095.94751946637, 'learning_rate': 4.609479305740988e-06, 'epoch': 1.09}
{'loss': 0.04, 'grad_norm': 437363.5069916099, 'learning_rate': 4.576101468624833e-06, 'epoch': 1.09}
{'loss': 0.0374, 'grad_norm': 511416.9960726765, 'learning_rate': 4.5427236315086784e-06, 'epoch': 1.1}
{'loss': 0.0421, 'grad_norm': 265900.02909364266, 'learning_rate': 4.509345794392524e-06, 'epoch': 1.11}
{'loss': 0.0535, 'grad_norm': 424307.72108930565, 'learning_rate': 4.475967957276369e-06, 'epoch': 1.11}
{'loss': 0.0415, 'grad_norm': 377987.51098945056, 'learning_rate': 4.442590120160214e-06, 'epoch': 1.12}
{'loss': 0.0358, 'grad_norm': 380406.52478105575, 'learning_rate': 4.409212283044059e-06, 'epoch': 1.13}
{'loss': 0.0425, 'grad_norm': 355290.3380617041, 'learning_rate': 4.375834445927904e-06, 'epoch': 1.13}
{'loss': 0.0438, 'grad_norm': 283115.16740718787, 'learning_rate': 4.3424566088117494e-06, 'epoch': 1.14}
{'loss': 0.0398, 'grad_norm': 744236.4266064918, 'learning_rate': 4.309078771695595e-06, 'epoch': 1.15}
{'loss': 0.0368, 'grad_norm': 382716.44680624845, 'learning_rate': 4.27570093457944e-06, 'epoch': 1.15}
{'loss': 0.0411, 'grad_norm': 310224.61684398935, 'learning_rate': 4.242323097463285e-06, 'epoch': 1.16}
{'loss': 0.04, 'grad_norm': 220165.73946007132, 'learning_rate': 4.20894526034713e-06, 'epoch': 1.17}
{'loss': 0.0378, 'grad_norm': 374731.90894825064, 'learning_rate': 4.175567423230975e-06, 'epoch': 1.17}
{'loss': 0.0432, 'grad_norm': 534455.1981073811, 'learning_rate': 4.1421895861148204e-06, 'epoch': 1.18}
{'loss': 0.039, 'grad_norm': 394146.5655514456, 'learning_rate': 4.108811748998665e-06, 'epoch': 1.19}
{'loss': 0.0358, 'grad_norm': 339530.6584566407, 'learning_rate': 4.075433911882511e-06, 'epoch': 1.19}
{'loss': 0.0455, 'grad_norm': 452164.651639201, 'learning_rate': 4.042056074766356e-06, 'epoch': 1.2}
{'loss': 0.0322, 'grad_norm': 284708.14159064717, 'learning_rate': 4.0086782376502e-06, 'epoch': 1.2}
{'loss': 0.0386, 'grad_norm': 271009.9780303301, 'learning_rate': 3.9753004005340454e-06, 'epoch': 1.21}
{'loss': 0.0446, 'grad_norm': 430827.1795325824, 'learning_rate': 3.941922563417891e-06, 'epoch': 1.22}
{'loss': 0.043, 'grad_norm': 721474.8812148626, 'learning_rate': 3.908544726301737e-06, 'epoch': 1.22}
{'loss': 0.0404, 'grad_norm': 300355.12975143275, 'learning_rate': 3.875166889185581e-06, 'epoch': 1.23}
{'loss': 0.0477, 'grad_norm': 730769.3870763881, 'learning_rate': 3.841789052069426e-06, 'epoch': 1.24}
{'loss': 0.0411, 'grad_norm': 280841.77193572896, 'learning_rate': 3.8084112149532717e-06, 'epoch': 1.24}
{'loss': 0.0343, 'grad_norm': 535202.2108175564, 'learning_rate': 3.775033377837116e-06, 'epoch': 1.25}
{'loss': 0.0353, 'grad_norm': 519022.7489118372, 'learning_rate': 3.7416555407209616e-06, 'epoch': 1.26}
{'loss': 0.0367, 'grad_norm': 132753.41062285367, 'learning_rate': 3.7082777036048068e-06, 'epoch': 1.26}
{'loss': 0.0388, 'grad_norm': 445874.2526946359, 'learning_rate': 3.674899866488652e-06, 'epoch': 1.27}
{'loss': 0.042, 'grad_norm': 580546.8468676753, 'learning_rate': 3.6415220293724967e-06, 'epoch': 1.28}
{'loss': 0.039, 'grad_norm': 607831.2591106186, 'learning_rate': 3.608144192256342e-06, 'epoch': 1.28}
{'loss': 0.0408, 'grad_norm': 571014.240719091, 'learning_rate': 3.5747663551401874e-06, 'epoch': 1.29}
{'loss': 0.0438, 'grad_norm': 334905.79317772336, 'learning_rate': 3.5413885180240326e-06, 'epoch': 1.3}
{'loss': 0.0425, 'grad_norm': 462762.18673526036, 'learning_rate': 3.5080106809078773e-06, 'epoch': 1.3}
{'loss': 0.0378, 'grad_norm': 352478.4413946476, 'learning_rate': 3.4746328437917225e-06, 'epoch': 1.31}
{'loss': 0.0371, 'grad_norm': 414020.1304477839, 'learning_rate': 3.4412550066755677e-06, 'epoch': 1.32}
{'loss': 0.0408, 'grad_norm': 431342.3379173438, 'learning_rate': 3.4078771695594124e-06, 'epoch': 1.32}
{'loss': 0.0465, 'grad_norm': 727081.0129277204, 'learning_rate': 3.374499332443258e-06, 'epoch': 1.33}
{'loss': 0.0384, 'grad_norm': 1039219.2535244909, 'learning_rate': 3.341121495327103e-06, 'epoch': 1.34}
{'loss': 0.0378, 'grad_norm': 690911.228567028, 'learning_rate': 3.3077436582109483e-06, 'epoch': 1.34}
{'loss': 0.0413, 'grad_norm': 769821.0303804385, 'learning_rate': 3.274365821094793e-06, 'epoch': 1.35}
{'loss': 0.0467, 'grad_norm': 743018.4238038785, 'learning_rate': 3.2409879839786383e-06, 'epoch': 1.36}
{'loss': 0.0378, 'grad_norm': 898068.6884732147, 'learning_rate': 3.207610146862484e-06, 'epoch': 1.36}
{'loss': 0.0381, 'grad_norm': 607774.0312714915, 'learning_rate': 3.1742323097463286e-06, 'epoch': 1.37}
{'loss': 0.0407, 'grad_norm': 652731.0520451743, 'learning_rate': 3.1408544726301738e-06, 'epoch': 1.38}
{'loss': 0.0386, 'grad_norm': 674290.1744975972, 'learning_rate': 3.107476635514019e-06, 'epoch': 1.38}
{'loss': 0.0484, 'grad_norm': 713307.7442787229, 'learning_rate': 3.074098798397864e-06, 'epoch': 1.39}
{'loss': 0.0457, 'grad_norm': 717327.1661494495, 'learning_rate': 3.040720961281709e-06, 'epoch': 1.4}
{'loss': 0.0423, 'grad_norm': 1155520.650456754, 'learning_rate': 3.0073431241655544e-06, 'epoch': 1.4}
{'loss': 0.0345, 'grad_norm': 694874.2402708565, 'learning_rate': 2.9739652870493996e-06, 'epoch': 1.41}
{'loss': 0.0407, 'grad_norm': 637516.2556798062, 'learning_rate': 2.9405874499332443e-06, 'epoch': 1.42}
{'loss': 0.0421, 'grad_norm': 1020794.3423040706, 'learning_rate': 2.9072096128170895e-06, 'epoch': 1.42}
{'loss': 0.0431, 'grad_norm': 572303.9890407894, 'learning_rate': 2.8738317757009347e-06, 'epoch': 1.43}
{'loss': 0.0339, 'grad_norm': 520899.8648339237, 'learning_rate': 2.8404539385847803e-06, 'epoch': 1.44}
{'loss': 0.0303, 'grad_norm': 526352.8090701142, 'learning_rate': 2.807076101468625e-06, 'epoch': 1.44}
{'loss': 0.0372, 'grad_norm': 1058538.4239639107, 'learning_rate': 2.77369826435247e-06, 'epoch': 1.45}
{'loss': 0.0411, 'grad_norm': 766255.255475615, 'learning_rate': 2.7403204272363153e-06, 'epoch': 1.46}
